Datetime,TairF,TairC
5/13/2022 15:15,91,32.77777778
5/13/2022 15:20,91,32.77777778
5/13/2022 15:25,91,32.77777778
5/13/2022 15:30,91,32.77777778
5/13/2022 15:35,91,32.77777778
5/13/2022 15:40,92,33.33333333
5/13/2022 15:45,91,32.77777778
5/13/2022 15:50,91,32.77777778
5/13/2022 15:55,91,32.77777778
5/13/2022 16:00,91,32.77777778
5/13/2022 16:05,91,32.77777778
5/13/2022 16:10,91,32.77777778
5/13/2022 16:15,91,32.77777778
5/13/2022 16:20,91,32.77777778
5/13/2022 16:25,90,32.22222222
5/13/2022 16:30,91,32.77777778
5/13/2022 16:35,90,32.22222222
5/13/2022 16:40,90,32.22222222
5/13/2022 16:45,90,32.22222222
5/13/2022 16:50,90,32.22222222
5/13/2022 16:55,90,32.22222222
5/13/2022 17:00,90,32.22222222
5/13/2022 17:05,90,32.22222222
5/13/2022 17:10,90,32.22222222
5/13/2022 17:15,90,32.22222222
5/13/2022 17:20,89,31.66666667
5/13/2022 17:25,89,31.66666667
5/13/2022 17:30,89,31.66666667
5/13/2022 17:35,90,32.22222222
5/13/2022 17:40,89,31.66666667
5/13/2022 17:45,89,31.66666667
5/13/2022 17:50,89,31.66666667
5/13/2022 17:55,89,31.66666667
5/13/2022 18:00,88,31.11111111
5/13/2022 18:05,88,31.11111111
5/13/2022 18:10,87,30.55555556
5/13/2022 18:15,87,30.55555556
5/13/2022 18:20,87,30.55555556
5/13/2022 18:25,87,30.55555556
5/13/2022 18:30,86,30
5/13/2022 18:35,86,30
5/13/2022 18:40,86,30
5/13/2022 18:45,85,29.44444444
5/13/2022 18:50,85,29.44444444
5/13/2022 18:55,85,29.44444444
5/13/2022 19:00,84,28.88888889
5/13/2022 19:05,84,28.88888889
5/13/2022 19:10,84,28.88888889
5/13/2022 19:15,83,28.33333333
5/13/2022 19:20,83,28.33333333
5/13/2022 19:25,83,28.33333333
5/13/2022 19:30,82,27.77777778
5/13/2022 19:35,82,27.77777778
5/13/2022 19:40,82,27.77777778
5/13/2022 19:45,81,27.22222222
5/13/2022 19:50,81,27.22222222
5/13/2022 19:55,81,27.22222222
5/13/2022 20:00,81,27.22222222
5/13/2022 20:05,81,27.22222222
5/13/2022 20:10,81,27.22222222
5/13/2022 20:15,81,27.22222222
5/13/2022 20:20,81,27.22222222
5/13/2022 20:25,80,26.66666667
5/13/2022 20:30,80,26.66666667
5/13/2022 20:35,80,26.66666667
5/13/2022 20:40,80,26.66666667
5/13/2022 20:45,80,26.66666667
5/13/2022 20:50,80,26.66666667
5/13/2022 20:55,80,26.66666667
5/13/2022 21:00,80,26.66666667
5/13/2022 21:05,80,26.66666667
5/13/2022 21:10,80,26.66666667
5/13/2022 21:15,79,26.11111111
